Index,Open,High,Low,Last,Change,Settle,Volume,OpenInterest
1959-07-01,120.2,120.3,119.6,119.7,NaN,119.7,3952.0,13997.0
1959-07-02,119.6,120.0,119.2,119.6,NaN,119.6,2223.0,14047.0
1959-07-06,119.4,119.5,117.7,118.0,NaN,118.0,3121.0,14206.0
1959-07-07,118.1,118.5,118.0,118.3,NaN,118.3,3540.0,14142.0
1959-07-08,118.4,118.5,117.3,117.3,NaN,117.3,2922.0,14353.0
1959-07-09,117.2,118.3,116.6,118.2,NaN,118.2,3479.0,15051.0
1959-07-10,118.6,119.4,118.4,119.0,NaN,119.0,3420.0,15370.0
1959-07-13,118.3,118.4,117.6,118.1,NaN,118.1,3451.0,15846.0
1959-07-14,118.3,119.7,118.2,119.6,NaN,119.6,1983.0,15535.0
1959-07-15,119.5,119.7,119.1,119.3,NaN,119.3,3387.0,15605.0
1959-07-16,119.2,119.5,118.7,119.3,NaN,119.3,1646.0,15506.0
1959-07-17,119.2,119.6,119.2,119.4,NaN,119.4,2065.0,15474.0
1959-07-20,119.0,119.0,118.2,118.7,NaN,118.7,1881.0,15422.0
1959-07-21,118.6,119.4,118.6,119.2,NaN,119.2,3636.0,15516.0
1959-07-22,119.4,119.7,119.0,119.5,NaN,119.5,2237.0,15654.0
1959-07-23,119.2,119.5,118.6,119.4,NaN,119.4,3001.0,16353.0
1959-07-24,119.5,120.7,119.5,120.5,NaN,120.5,2466.0,16894.0
1959-07-27,120.5,120.7,119.4,119.5,NaN,119.5,3263.0,16531.0
1959-07-28,119.2,119.2,118.4,118.6,NaN,118.6,3255.0,16823.0
1959-07-29,118.1,119.5,118.1,119.3,NaN,119.3,2392.0,16675.0
1959-07-30,119.4,119.6,119.1,119.3,NaN,119.3,2732.0,16352.0
1959-07-31,119.2,120.0,119.2,119.7,NaN,119.7,1868.0,16381.0
1959-08-03,119.3,120.2,119.1,119.7,NaN,119.7,1910.0,16053.0
1959-08-04,119.7,120.6,119.5,120.4,NaN,120.4,1820.0,16265.0
1959-08-05,120.6,121.2,120.3,120.5,NaN,120.5,2885.0,16247.0
