Timestamp,Trade Price,Trade Volume,Best Bid,Bid Size,Best Ask,Ask Size,Upper Limit,Lower Limit,Turnover,Calc VWAP,Flow
2016-06-28T16:59:58.536,,,48.10,1,48.11,16,56.33,36.33,,,
2016-06-28T16:59:58.446,,,48.10,1,48.11,17,56.33,36.33,,,
2016-06-28T16:59:57.596,,,48.10,1,48.11,16,56.33,36.33,,,
2016-06-28T16:59:57.586,48.11,1,48.10,1,48.11,17,56.33,36.33,48.11,47.93,35265.20
2016-06-28T16:59:57.376,,,48.10,1,48.11,17,56.33,36.33,,,
2016-06-28T16:59:56.506,,,48.10,1,48.11,2,56.33,36.33,,,
2016-06-28T16:59:56.496,48.10,1,48.10,2,48.11,2,56.33,36.33,48.10,47.93,35217.09
2016-06-28T16:59:55.375,,,48.10,2,48.11,2,56.33,36.33,,,
2016-06-28T16:59:54.476,,,48.10,2,48.11,3,56.33,36.33,,,
2016-06-28T16:59:54.476,48.10,1,48.10,3,48.11,3,56.33,36.33,48.10,47.93,35265.19
2016-06-28T16:59:53.976,,,48.10,3,48.11,3,56.33,36.33,,,
2016-06-28T16:59:53.895,,,48.10,3,48.11,1,56.33,36.33,,,
2016-06-28T16:59:53.876,,,48.10,3,48.12,13,56.33,36.33,,,
2016-06-28T16:59:53.865,48.10,1,48.10,4,48.12,13,56.33,36.33,48.10,47.93,35313.29
2016-06-28T16:59:53.146,,,48.10,4,48.12,13,56.33,36.33,,,
2016-06-28T16:59:52.646,,,48.10,4,48.12,14,56.33,36.33,,,
2016-06-28T16:59:52.646,48.11,1,48.10,4,48.11,1,56.33,36.33,48.11,47.93,35361.39
2016-06-28T16:59:51.886,,,48.10,4,48.11,1,56.33,36.33,,,
2016-06-28T16:59:51.667,,,48.10,4,48.12,14,56.33,36.33,,,
2016-06-28T16:59:51.586,,,48.10,4,48.12,15,56.33,36.33,,,
2016-06-28T16:59:51.164,,,48.10,4,48.12,12,56.33,36.33,,,
