Index,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-02-23,455.5,456.5,450.25,452.2,2.6,453.0,145346.0,244376.0
2014-03-02,448.0,458.75,447.75,458.0,9.4,457.5,37182.0,38695.0
2014-03-09,485.25,495.0,478.0,481.0,4.6,481.0,7141.0,7124.0
2014-03-16,484.5,484.75,480.5,485.2,1.0,472.25,316.0,515.0
2014-03-23,478.5,481.0,476.0,477.4,0.4,479.0,87347.0,548999.0
2014-03-30,491.0,496.25,489.0,490.0,7.4,492.0,120358.0,530465.0
2014-04-06,498.0,502.0,492.5,502.0,1.5,501.5,104110.0,482614.0
2014-04-13,499.0,505.5,497.0,498.0,2.5,498.0,148430.0,353193.0
2014-04-20,497.0,501.5,493.0,494.0,2.5,494.5,102905.0,243028.0
2014-04-27,501.5,510.5,500.5,504.5,5.5,507.0,90958.0,132628.0
2014-05-04,503.0,505.25,492.0,494.25,9.25,494.0,15519.0,17373.0
2014-05-11,512.0,519.5,503.0,508.25,8.25,505.0,2136.0,4570.0
2014-05-18,484.5,487.0,480.25,484.0,0.75,483.5,92257.0,586279.0
2014-05-25,477.5,480.5,475.5,475.5,1.25,478.0,85250.0,550233.0
2014-06-01,469.75,473.5,465.0,465.0,3.75,465.75,128196.0,519827.0
2014-06-08,449.0,459.75,447.0,458.5,10.0,459.0,163794.0,459758.0
2014-06-15,444.0,449.75,443.75,446.75,3.0,447.0,127620.0,353091.0
2014-06-22,449.75,453.75,446.25,451.5,2.75,453.25,111978.0,231544.0
2014-06-29,442.25,444.5,440.0,443.0,0.25,443.0,111159.0,66673.0
2014-07-06,418.75,420.25,416.25,417.25,1.5,417.0,3045.0,10512.0
2014-07-13,400.5,403.5,394.0,399.75,0.75,399.75,2153.0,1689.0
2014-07-20,379.0,381.25,370.0,370.25,8.25,371.25,62889.0,502429.0
2014-07-27,361.0,363.5,357.0,362.5,1.5,363.0,75733.0,503321.0
2014-08-03,357.0,358.75,351.5,351.5,4.5,352.5,72880.0,477976.0
2014-08-10,358.75,359.5,351.25,352.0,7.75,351.75,123347.0,398004.0
2014-08-17,361.0,368.0,360.5,365.5,3.75,365.75,74395.0,243499.0
2014-08-24,361.25,367.0,361.25,364.5,3.25,365.5,106818.0,171441.0
2014-08-31,360.0,361.75,356.0,358.75,2.75,359.0,30599.0,27125.0
2014-09-07,336.25,347.5,335.25,346.0,10.75,346.5,3183.0,6394.0
2014-09-14,341.0,344.0,337.25,338.0,2.5,338.5,104949.0,795589.0
2014-09-21,338.0,338.25,331.5,331.75,6.75,331.5,107147.0,789519.0
2014-09-28,326.0,327.0,322.75,323.0,3.0,323.0,85804.0,785484.0
2014-10-05,322.75,325.75,321.0,323.75,0.5,323.25,91688.0,763543.0
2014-10-12,343.25,348.5,332.5,334.75,10.75,334.0,233534.0,750283.0
2014-10-19,351.75,355.75,346.5,347.75,4.25,348.0,126402.0,707984.0
2014-10-26,359.25,365.0,352.25,352.5,6.75,353.0,161700.0,667119.0
2014-11-02,372.75,378.0,368.0,375.0,2.75,376.75,190175.0,618089.0
2014-11-09,370.0,371.75,364.25,367.5,3.75,367.5,207758.0,557039.0
2014-11-16,385.5,387.0,380.5,381.5,4.5,381.75,159394.0,404377.0
2014-11-23,372.75,381.5,369.75,371.0,0.5,372.75,203953.0,276456.0
2014-11-30,377.0,380.5,370.5,377.0,2.0,375.5,28899.0,41429.0
2014-12-07,375.5,382.0,372.5,380.0,5.0,381.0,3476.0,18243.0
2014-12-14,397.5,410.0,397.5,406.5,9.0,407.0,193014.0,671031.0
